commodity,n_months,mean_index,std_index,mean_mom_change,std_mom_change,median_usdprice,cv_index
Ghee buatan,119,109.19055857637173,18.850148196867334,0.29668634900209906,3.3672149619873633,1.7650000000000001,0.17263533077068083
Tepung terigu kualitas pertama,121,107.70661301342021,18.540773854214347,0.4271116201335194,6.511368140479037,0.47,0.1721414622136913
Lentil masur,122,78.4602110504398,13.324671906548893,-0.1836507996891409,5.087001532765933,1.01,0.16982712292199734
Dadih,105,146.86748008812066,24.813188041254115,0.6880243785347487,3.8397703656048345,4.16,0.16894950486224844
Beras campuran kualitas rendah,120,126.57126065236557,21.19033272528221,0.8548752681185717,11.608045103965132,0.65,0.16741820075161093
Daging babi berlemak,117,117.05940334115493,19.56794657193085,0.48498531143693385,5.448207568353892,3.825,0.16716253469106218
Daging kerbau kualitas kedua,118,95.84759564953349,15.965394638301303,0.10236648111622701,7.272002583095587,6.115,0.16657063257672872
Daging kerbau kualitas pertama,118,88.8582785844421,14.591236598560945,-0.11868454249326961,4.529261293066298,7.1899999999999995,0.1642079593596322
Unggas,121,93.28757529065695,15.233546534745551,1.1030745823967443,15.10689975134671,1.3599999999999999,0.16329662859477537
Kacang hitam impor,107,123.44264113815584,19.657318719491265,0.8189216791749071,7.1414509386027145,1.395,0.1592425319018489
Roti gandum,121,118.96622149187232,18.937824139888733,0.6605706838118454,7.277711595188623,0.076,0.15918656491231464
Kefir,107,118.39286555215446,18.82285825462327,0.7492939930064004,9.18182551214534,0.82,0.15898642343724181
